"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1456","Complete checkout flow from inventory to completion","chromium","2026-04-03","passed","2026-04-03","Navigation and User Flow","saucedemo-checkout\navigation-flow.spec.ts","",""
"","1330","Validate all fields are required - submit empty form","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","2235","Form labels are properly associated with input fields","chromium","2026-04-03","passed","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","1216","Invalid cart state - empty cart checkout attempt","chromium","2026-04-03","passed","2026-04-03","Cart Review and Navigation","saucedemo-checkout\cart-totals.spec.ts","",""
"","1326","Accept special characters in name fields","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1347","Verify accurate total amount calculation","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","1309","Special characters handling in checkout form","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1468","Numeric values accepted in First and Last Name fields","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1999","Checkout flow on Safari browser - full flow verification","chromium","2026-04-03","skipped","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","1372","Single character values in fields","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1404","Successfully enter valid checkout information","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1334","Postal code with non-numeric characters","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1376","Cancel from checkout overview returns to inventory","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","2454","Checkout flow on Chrome browser - full flow verification","chromium","2026-04-03","passed","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","2399","Keyboard navigation through checkout form","chromium","2026-04-03","passed","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","1309","Direct URL navigation to checkout pages","chromium","2026-04-03","passed","2026-04-03","Navigation and User Flow","saucedemo-checkout\navigation-flow.spec.ts","",""
"","1247","Verify page titles and headings at each checkout step","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
"","1395","Order completion with various names and postal codes","chromium","2026-04-03","passed","2026-04-03","Order Completion and Success","saucedemo-checkout\order-completion.spec.ts","",""
"","1480","Order confirmation page displays all relevant information","chromium","2026-04-03","passed","2026-04-03","Order Completion and Success","saucedemo-checkout\order-completion.spec.ts","",""
"","1273","Cancel button on checkout step 1 returns to cart","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1323","Validate required field - Last Name is mandatory","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
